brand,rating,review,date_experience
Shein,1,"Je suis une très bonne cliente de SHEIN, là à un mois, j’ai commandé pour 1500 € d’articles, dans mon premier colis, il y avait des articles manquants, j’ai fait un e-mail au service client au bout d’une semaine ils ne m’ont même pas répondu, j’ai dû téléphoner pour qu’ ils me disent qu’ils m’ont tout   envoyé qui avait pas d’articles manquants et qu’il ne me rembourse pas la en ce moment j’ai des problèmes avec le service client, je suis déçu et très en colère donc là j’ai fait appel à PayPal et j’espère qu’ils vont m’aider donc le service client en France, et en plus ils sont tous incompétent et pas professionnel ils font  tout pour que je ne commande plus à SHEIN  😡😡😡😡😡😡 👎🏻👎🏻👎🏻👎🏻👎🏻PS: et aussi d’autres problèmes de remboursement avant je n’avais pas de problème et maintenant ci",27 janvier 2025
Shein,3,Il manquait un article dans mon colis,28 janvier 2025
Shein,2,Plusieurs crayon n’écrive pas . Déçu en vue du prix élevée .,11 février 2025
Shein,3,je voulais les colis ensemble et je les ai pas eu,11 février 2025
Shein,3,Il manque les accessoires,10 février 2025
Shein,2,Date de l'expérience: 11 février 2025,11 février 2025
Shein,1,Il y avait des articles manquant,27 janvier 2025
Shein,1,Livraison lent,28 janvier 2025
Shein,1,J’ai pas reçu ma commande,10 février 2025
Shein,2,Mauvaise qualité,11 février 2025
Shein,1,Date de l'expérience: 27 janvier 2025,27 janvier 2025
Shein,1,"Très déçue. Colis soit disant livré dans le Locker,mais le casier est vide à l'ouverture ! Shein ne veux rien faire et me demande une preuve de non livraison et Chronopost de son côté veux que Shein dépose réclamation, c'est sans fin . Et j'ai perdu mon argent et pas de colis. Plus jamais...",09 février 2025
Shein,2,Les produits ne sont pas de super qualité et les harcèlements SMS sont insupportables.Ne parlons pas des délais de livraison.,21 décembre 2024
Shein,1,La commande s est passée seule alors que je mettais des articles dans le panier paiement avec ma carte que je n ai pas enregistrée sans que je valide cette commande que j ai bien sûr annulée sur le champs et je n ai pas pu l annuler car il y avait un article que je personnalisait très très mécontente,26 janvier 2025
Shein,1,Très mauvais service client,08 février 2025
Shein,1,"C'est ABERRANT comment le client est traité chez shein. J'ai fait une commande ( GSO1MX16N00MWBX) d'une valeur de 436,15 euros sur leur site et pour ne pas avoir de surprise, je devais récupéré ça dans un point relais. J'arrive le samedi  08/02/2025 pour récupérer mon colis on me dit que le colis n'est pas arrivé. Je vérifie sur le site chronopost, je vois que le colis est arrivé et sur shein je vois la mention colis retiré. En effet chronopost dit que le colis été retiré le 06/02/2025. Je retourne au point relais, je leur dis que j'ai pas retiré et que j'ai envoyé PERSONNE en mon nom retirer mon colis et que même sur le site de chronopost qu'il n'y a la preuve de signature et le jeudi 06 j'étais au travail la femme travaillant relais colis insinuant que comme je viens retirer souvent des colis peut-être le colis a été retiré. Je réponds au robot qui joue le rôle de service client. On me fait que mon problème sera traité. Ce matin vers 04h fu matin on m'envoie un mail pour me dire que je ne serai pas remboursé parce que le colis a été livré de vérifier chez mes voisinsetc ...  (leur message automatique). POURQUOI, QUAND LE CLIENT A DES PROBLEMES DE LIVRAISON, IL SE FAIT BALADER ENTRE SHEIN, LE RELAIS COLIS ET CHRONOPOST? Je me retrouve à appeler n'importe qui pour qu'il m'aide soit me rembourser ou m'aider à retrouver. JE PENSE QUE C'EST à CAUSE DU PRIX DU COLIS QUE SHEIN VEUT PAS ME REMBOURSER MAIS J'IRAI JUSQU'AU BOUT POUR QU'ON ME REMBOURSE MON ARGENT. LE RELAIS DE COLIS N'A PAS DE CAMERA DE SURVEILLANCE ? OU est la preuve du retrait quand on retire un colis on doit signer ????????? Je ferai le nécessaire pour me faire REMBOURSER. SHEIN A EVITER XXXX",10 février 2025
Shein,2,Trop long l'envoi,05 février 2025
Shein,3,Pas très satisfaite du pantalon qui devait être rouge il est rose brillant,08 février 2025
Shein,1,Horrrible me font batailler pour un remboursement après presque 5mois je ne recommande pas !,25 janvier 2025
Shein,1,Bonjour je n'ai jamais reçu ma dernière commande on devait me donner suite cela fait déjà 3 semaines pas de nouvelles autant vous dire que je suis insatisfaite,25 janvier 2025
Shein,1,"Je n'ai pas eu l'article que j avais commandé, j ai pris des feuilles afin de pouvoir l'utiliser et du coup je me retrouve sans ma commande et avec des feuilles inutilisables",08 février 2025
Shein,1,Produit cassé fissuré inutilisable,08 février 2025
Shein,1,J’ai reçu mon colis explosé ( des feutre acrylique) déjà utilisé la boîte qui tenait avec du gros scotch il manque des feutre dans la boîte et les autre ne fonctionne pas tous au final,08 février 2025
Shein,1,ils livre pas dans le délais même si on paye la livreson rapide,25 janvier 2025
Shein,2,La qualité du tissu est médiocre.,25 janvier 2025
